document_id,clean_text,sentiment
1,Excruciatingly Awful,negative
2,What Happened?,neutral
3,The worst one yet.,negative
4,Fast X,positive
5,They need to stop,neutral
6,I literally thought this was a parody skit off of SNL!,neutral
7,its comically bad,negative
8,"When ""Avengers"" meets ""Fast and the furious"" everything goes wrong",negative
9,Toretto just started playing Rocket League in the middle of Italy.,neutral
10,Void In between car action,positive
11,Jason Momoa gives one of the most embarrassing performances in film history,positive
12,Because... Family,neutral
13,Can't wait for the franchise to be over!,neutral
14,Absolute piece of crap that not even ends!!!,negative
15,Weak fantasy with cars,negative
16,Total disrespect for the fans,neutral
17,The most entertaining part of this movie are the ChatGPT 10/10 reviews,positive
18,How bad!,negative
19,The end of the road begins badly,negative
20,They couldn't even put the effort into a better title,positive
21,Left me furious,neutral
22,What the heck,neutral
23,"Even for F + F, it's a Mess",negative
24,Stupidity without coolness,negative
25,This keeps getting worst and worst.,negative
